task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
396	8d/54c80e	16884988	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_1)	COMPLETED	0	2022-03-13 16:27:56.995	19m 33s	1s	5.8%	2.7 MB	11.9 MB	3.2 MB	6.2 KB
130	f5/9789d1	16884709	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (WT_3)	COMPLETED	0	2022-03-13 14:24:33.023	2h 23m 42s	2h 21m 46s	14.4%	8.7 GB	39 GB	34.6 GB	30.3 GB
395	e6/c9b12c	16884975	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KO_5)	COMPLETED	0	2022-03-13 16:27:55.524	22m 10s	8m 35s	6.1%	3.5 MB	209.7 MB	3.6 GB	5.4 KB
352	29/87467f	16884931	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (WT_4)	COMPLETED	0	2022-03-13 15:35:05.219	1h 15m 20s	12m 27s	5.6%	32.7 MB	209.7 MB	5 GB	3.6 MB
400	54/64ffb8	16884994	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KI_5)	COMPLETED	0	2022-03-13 16:27:57.648	22m 38s	1s	5.5%	2.7 MB	11.9 MB	3.5 MB	6.2 KB
401	b9/29aeb8	16884977	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_3)	COMPLETED	0	2022-03-13 16:27:55.750	22m 54s	8m 54s	23.1%	5.2 MB	211.2 MB	3.3 GB	252.3 KB
405	cf/40e13e	16884976	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KO_5)	COMPLETED	0	2022-03-13 16:27:55.640	23m 5s	9m 35s	23.8%	5.2 MB	211.2 MB	3.6 GB	253.9 KB
402	78/df3e5d	16884979	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_1)	COMPLETED	0	2022-03-13 16:27:55.976	24m 49s	8m 24s	28.1%	5.4 MB	211.2 MB	3.1 GB	251.6 KB
425	38/e0cbf8	16884998	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_2)	COMPLETED	0	2022-03-13 16:27:58.103	25m 2s	3s	2.6%	2.7 MB	11.9 MB	3.6 MB	6.2 KB
376	f6/af8169	16884956	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (KI_2)	COMPLETED	0	2022-03-13 15:52:32.538	1h 53s	32m 53s	31.1%	13.8 GB	16.9 GB	12.2 GB	3.3 GB
412	45/0ec6b3	16884978	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KI_1)	COMPLETED	0	2022-03-13 16:27:55.861	26m 9s	10m 47s	22.2%	5.3 MB	211.2 MB	3.8 GB	254.1 KB
367	9b/92a87a	16884957	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (KI_2)	COMPLETED	0	2022-03-13 15:52:32.661	1h 2m 8s	13m 15s	5.5%	32.5 MB	209.7 MB	5.3 GB	3.7 MB
394	1c/1633d5	16884987	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (WT_1)	COMPLETED	0	2022-03-13 16:27:56.880	27m 18s	7m 49s	5.4%	3.5 MB	209.7 MB	3.1 GB	5.4 KB
410	d4/0e4cd5	16884981	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KI_1)	COMPLETED	0	2022-03-13 16:27:56.187	27m 34s	9m 40s	7.3%	3.5 MB	209.7 MB	3.8 GB	5.4 KB
393	93/867aea	16884984	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (WT_3)	COMPLETED	0	2022-03-13 16:27:56.526	27m 34s	8m 21s	5.6%	3.5 MB	209.7 MB	3.3 GB	5.4 KB
423	fb/3dfb01	16885001	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KI_4)	COMPLETED	0	2022-03-13 16:27:58.441	27m 32s	1s	6.6%	2.7 MB	11.7 MB	3.6 MB	6.2 KB
426	7b/f656af	16885003	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KO_2)	COMPLETED	0	2022-03-13 16:27:58.664	27m 52s	1s	4.6%	2.7 MB	11.9 MB	3.8 MB	6.2 KB
403	66/be76f3	16885005	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_5)	COMPLETED	0	2022-03-13 16:27:58.894	28m 1s	1s	12.3%	1.6 MB	5.4 MB	3.6 MB	6.2 KB
413	50/a0f66e	16885006	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KO_4)	COMPLETED	0	2022-03-13 16:27:59.006	28m 36s	2s	4.0%	2.7 MB	11.9 MB	3.7 MB	6.2 KB
406	c8/6e0cd3	16884989	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KI_5)	COMPLETED	0	2022-03-13 16:27:57.114	29m 8s	9m 38s	5.4%	3.5 MB	209.7 MB	3.7 GB	5.4 KB
428	21/cbc025	16885007	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KO_1)	COMPLETED	0	2022-03-13 16:27:59.117	29m 6s	3s	2.2%	2.7 MB	11.9 MB	3.8 MB	6.2 KB
