tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000192142	ENSMUST00000192142	ENSMUSG00000033793	0.445877	0.601987	0.574521	0.522434	0.351855	0.846919	0.853573	0.558129	1.047343	0.478122	0.931184	0.622817	0.539545	0.483309	0.755777
ENSMUST00000193351	ENSMUST00000193351	ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193241	ENSMUST00000193241	ENSMUSG00000104046	0.012595	0.055548	0.01211	0.023926	0.013725	0.035214	0.024137	0.060549	0	0	0.033311	0	0.016394	0.021145	0
ENSMUST00000194850	ENSMUST00000194850	ENSMUSG00000102907	0	0.012578	0	0	0	0	0	0	0	0	0	0	0	0	0.014739
ENSMUST00000192685	ENSMUST00000192685	ENSMUSG00000025905	0.020532	0	0	0.009432	0.024841	0.051466	0	0	0.03968	0	0.026259	0.016436	0.028397	0.008335	0
ENSMUST00000160777	ENSMUST00000160777	ENSMUSG00000025905	0	0.002605	0.017733	0.061665	0.027304	0.105139	0	0	0.502365	0	0.023405	0.023576	0.4364	0.069444	0.05239
ENSMUST00000239100	ENSMUST00000239100	ENSMUSG00000025905	0.224038	0.002605	0.017733	0.061665	0.027304	0.105139	0	0.036267	0	0.158672	0.023405	0.023576	0	0.069444	0.05239
ENSMUST00000027038	ENSMUST00000027038	ENSMUSG00000025905	0	0	0	0	0	0	0	0	0.098973	0	0	0	0	0.045074	0
ENSMUST00000160339	ENSMUST00000160339	ENSMUSG00000025905	0	0	0	0	0	0	0	0.051025	0	0.176519	0	0	0	0	0
ENSMUST00000159083	ENSMUST00000159083	ENSMUSG00000025905	0	0	0.022402	0	0.011714	0.009699	0.008068	0	0.093924	0.037893	0	0	0.098912	0.010741	0.051046
ENSMUST00000193797	ENSMUST00000193797	ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00020183055	ENSMUST00020183055	ENSMUSG00002076544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193807	ENSMUST00000193807	ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000044180	ENSMUST00000044180	ENSMUSG00000033774	0.007551	0.013321	0.05088	0	0.016526	0.007037	0	0	0	0	0.029934	0	0.009827	0.050677	0.007813
ENSMUST00000191956	ENSMUST00000191956	ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000159906	ENSMUST00000159906	ENSMUSG00000025907	0	0.194938	0.091155	0.242225	0.11232	0.210907	0.229167	0.371728	0.126258	0.10752	0	0.072268	0	0.085953	0
ENSMUST00000160871	ENSMUST00000160871	ENSMUSG00000025907	4.570912	2.765058	3.750093	3.959862	3.492196	5.733395	4.341498	2.096496	5.133229	4.319995	4.46817	4.263805	5.11008	4.214557	4.507282
ENSMUST00000191825	ENSMUST00000191825	ENSMUSG00000090031	0.944269	1.361483	1.055677	1.401082	0.946795	2.05651	1.706411	1.357684	1.905129	1.163957	1.322588	1.043298	1.732165	1.281802	1.4082
ENSMUST00000159618	ENSMUST00000159618	ENSMUSG00000090031	0.685476	0.470596	0.644999	0.748177	0.583149	0	1.736593	1.639483	0.626608	0.883219	1.16221	0	1.942543	0	0.888969
ENSMUST00000097832	ENSMUST00000097832	ENSMUSG00000090031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000027040	ENSMUST00000027040	ENSMUSG00000025907	3.299321	3.801517	3.975164	3.461417	3.251302	4.18494	3.286644	2.715812	6.351097	3.429128	2.806833	2.963873	4.856631	2.944275	3.846971
ENSMUST00000162210	ENSMUST00000162210	ENSMUSG00000025907	1.624197	1.517281	0.946305	1.26957	1.382946	2.212408	1.526026	1.190171	2.008176	1.512335	1.272068	1.011055	1.791366	1.227745	1.015243
ENSMUST00000160062	ENSMUST00000160062	ENSMUSG00000025907	0.306944	0.437471	0.588528	0.414535	0.112788	0.303644	0	0.089058	0.118317	0	0.142807	0.074192	0.734243	0.624137	0
ENSMUST00000162795	ENSMUST00000162795	ENSMUSG00000025907	7.209089	8.294757	4.718973	7.749863	7.549909	8.328271	8.22681	8.266449	9.164821	8.746467	7.346981	5.950499	9.512255	6.89087	7.00719
ENSMUST00000161327	ENSMUST00000161327	ENSMUSG00000025907	6.7373	5.697699	4.279042	5.420592	4.486902	6.350911	6.337324	5.296919	6.174979	6.712108	5.372223	3.640993	6.503604	5.148802	5.018702
ENSMUST00000159802	ENSMUST00000159802	ENSMUSG00000025907	0.759706	1.185004	0.890833	0.740154	0.717613	1.581202	1.480551	0.977484	1.65616	0.903651	1.285863	0.948624	1.650889	0.825428	0.796063
ENSMUST00000162257	ENSMUST00000162257	ENSMUSG00000025907	5.988675	7.359162	5.520988	7.550188	8.501847	8.098537	8.255064	7.424174	10.652474	8.621447	6.515349	5.97487	8.133513	5.814667	6.565487
ENSMUST00000159206	ENSMUST00000159206	ENSMUSG00000025907	1.754285	3.10359	1.304499	1.553382	1.364885	2.70743	2.568783	1.448922	2.095974	1.946297	2.707259	1.569579	3.09103	1.894408	2.569671
ENSMUST00000159661	ENSMUST00000159661	ENSMUSG00000025907	0.513508	0.637265	1.090284	0.490836	1.548244	1.811698	1.23603	0.999843	1.734166	0.502684	1.499014	1.08368	0.556085	0.283215	0.680212
ENSMUST00000161183	ENSMUST00000161183	ENSMUSG00000025907	0.96828	0.842529	0.81935	0.172788	1.311518	0.978298	2.869325	1.182163	1.647741	0.765887	1.079059	1.005716	2.881589	0.328425	1.877506
ENSMUST00000159349	ENSMUST00000159349	ENSMUSG00000025907	0.675228	0.710963	0.823812	0.666245	0.167651	2.28092	1.18883	1.428973	1.574173	0.367505	1.082475	1.07349	1.333137	0.429292	0.705884
ENSMUST00000159530	ENSMUST00000159530	ENSMUSG00000025907	1.002337	1.571301	0.286256	0.728668	1.374944	0.185722	0.471768	1.562825	1.158681	0.635434	2.356025	1.089213	2.069379	0.445351	1.176099
ENSMUST00000162418	ENSMUST00000162418	ENSMUSG00000025907	0.653144	1.231985	0.563814	0.689966	0.646138	1.579038	1.110798	0.875037	1.637299	0.709951	0.83252	0.72109	1.460276	0.771001	0.854885
ENSMUST00000159656	ENSMUST00000159656	ENSMUSG00000025907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06976
ENSMUST00000133144	ENSMUST00000133144	ENSMUSG00000087247	0.164952	0.174665	0.221097	0.565287	0.990165	0.246007	0.126677	0.09507	0.11727	0.579266	0.481496	0.170929	0.300783	0.111074	0.849988
ENSMUST00000193588	ENSMUST00000193588	ENSMUSG00000103355	0	0.050187	0.108249	0.053966	0.245941	0.053108	0	0.05523	0	0.202039	0	0.085469	0.148322	0.194008	0.180266
ENSMUST00000192950	ENSMUST00000192950	ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072836	0
ENSMUST00000194240	ENSMUST00000194240	ENSMUSG00000103845	0.006131	0	0.02989	0.00584	0.006773	0.023034	0.005912	0.02996	0.007248	0.015861	0.008124	0	0.024179	0.010376	0.006397
ENSMUST00000140079	ENSMUST00000140079	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000131494	ENSMUST00000131494	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297568	0
ENSMUST00000043578	ENSMUST00000043578	ENSMUSG00000033740	0	0	0.156783	0.118029	0.190975	0	0	0.063183	0	0	0	0	0	0	0.120275
ENSMUST00000139756	ENSMUST00000139756	ENSMUSG00000033740	0	0	0	0	0	0	0.241882	0	0	0	0	0	0	0	0
ENSMUST00000131467	ENSMUST00000131467	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000150761	ENSMUST00000150761	ENSMUSG00000033740	0	0	0	0	0	0	0	0.105944	0	0	0	0	0	0	0
ENSMUST00000151281	ENSMUST00000151281	ENSMUSG00000033740	0	0.058788	0.153641	0.213228	0.067163	0.144054	0	0	0.263061	0	0.143692	0.135888	0.13927	0	0.163362
ENSMUST00000139838	ENSMUST00000139838	ENSMUSG00000033740	0.3479	0	0	0	0	0	0	0	0	0.184535	0	0	0	0	0
ENSMUST00000163727	ENSMUST00000163727	ENSMUSG00000033740	0.273249	0.110456	0	0	0	0.271353	0.156899	0	0.210691	0.274733	0.156854	0.052385	0.404492	0	0
ENSMUST00000132207	ENSMUST00000132207	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000142304	ENSMUST00000142304	ENSMUSG00000033740	0	0	0	0	0	0	0.27182	0	0	0.471486	0	0	0	0	0
ENSMUST00000151015	ENSMUST00000151015	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000130338	ENSMUST00000130338	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0.520778	0	0	0.155551	0	0	0.156707
ENSMUST00000195780	ENSMUST00000195780	ENSMUSG00000103329	0	0	0	0.01839	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194393	ENSMUST00000194393	ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194605	ENSMUST00000194605	ENSMUSG00000102135	0.127136	0.21694	0.263232	0.289113	0.363854	0.2128	0.253174	0.057741	0.149087	0.073133	0	0.292445	0.075935	0.101487	0.138462
ENSMUST00000191703	ENSMUST00000191703	ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193423	ENSMUST00000193423	ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000191883	ENSMUST00000191883	ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195648	ENSMUST00000195648	ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000061280	ENSMUST00000061280	ENSMUSG00000051285	14.063362	13.340862	11.309438	14.609536	14.300613	14.306198	12.623427	12.179431	16.543712	18.132644	10.803477	8.731276	17.616024	11.642008	15.143665
ENSMUST00000182114	ENSMUST00000182114	ENSMUSG00000051285	0.630658	0.5294	0.122841	0.143797	0.126008	0.434721	0.27863	0.562091	0	0.36441	0.126393	0.080165	0.369045	0.096817	0.218854
ENSMUST00000182306	ENSMUST00000182306	ENSMUSG00000051285	0	0	0	0	0	0	0	0	0.862629	0	0	0	0	0	0.19107
ENSMUST00000182823	ENSMUST00000182823	ENSMUSG00000051285	5.655832	3.339183	3.697456	3.73544	2.260305	4.577894	2.948837	4.567771	4.792943	4.221329	3.121319	2.3026	2.909224	4.618744	4.112428
ENSMUST00000182051	ENSMUST00000182051	ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000182675	ENSMUST00000182675	ENSMUSG00000051285	0	0.985619	0.104301	0.25359	2.44646	0.544456	0	1.165577	0	0.931564	0	1.23869	0	0.153076	0.651092
ENSMUST00000194854	ENSMUST00000194854	ENSMUSG00000103509	1.723732	2.554123	1.739045	1.865349	1.781539	3.270597	3.281849	1.969477	4.461373	2.504207	2.322902	1.594873	3.077679	1.810184	2.04055
ENSMUST00000182388	ENSMUST00000182388	ENSMUSG00000051285	1.781525	2.901485	1.816439	2.642995	2.640159	3.94159	3.550025	1.591628	5.145911	2.904848	2.072691	1.882875	2.747804	3.247978	2.420559
ENSMUST00000182892	ENSMUST00000182892	ENSMUSG00000051285	3.560703	3.512695	3.018722	2.512378	2.099931	4.231076	4.563896	1.863953	5.898376	3.60402	3.386538	2.578973	5.035978	2.559165	3.202243
ENSMUST00000183204	ENSMUST00000183204	ENSMUSG00000051285	0.37314	0.25373	0.066304	0.248981	0.422753	0.137668	0.04544	0.586368	1.006151	0.420709	0.298426	0.052771	0.438763	0.226266	0.420725
ENSMUST00000029124	ENSMUST00000029124	ENSMUSG00000048538	0.119658	0.241355	0.210152	0.159146	0.173952	0.091426	0.211052	0.047169	0.212398	0.108689	0.236768	0.148536	0.152949	0.242737	0.260818
ENSMUST00000195269	ENSMUST00000195269	ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
