tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000194240	ENSMUST00000194240	ENSMUSG00000103845	1.005	0	5.087	1.008	1.013	4.051	1.012	5.105	1.01	2.226	1.008	0	3.045	2.027	1.013
ENSMUST00000140079	ENSMUST00000140079	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000131494	ENSMUST00000131494	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0
ENSMUST00000043578	ENSMUST00000043578	ENSMUSG00000033740	0	0	34.813	26.597	37.236	0	0	14.048	0	0	0	0	0	0	24.849
ENSMUST00000139756	ENSMUST00000139756	ENSMUSG00000033740	0	0	0	0	0	0	2.561	0	0	0	0	0	0	0	0
ENSMUST00000131467	ENSMUST00000131467	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000150761	ENSMUST00000150761	ENSMUSG00000033740	0	0	0	0	0	0	0	16.952	0	0	0	0	0	0	0
ENSMUST00000151281	ENSMUST00000151281	ENSMUSG00000033740	0	8.429	20.187	28.403	7.764	19.547	0	0	28.269	0	13.751	23.18	13.533	0	19.967
ENSMUST00000139838	ENSMUST00000139838	ENSMUSG00000033740	8.208	0	0	0	0	0	0	0	0	3.716	0	0	0	0	0
ENSMUST00000163727	ENSMUST00000163727	ENSMUSG00000033740	55.792	25.571	0	0	0	59.453	33.456	0	36.586	48.042	24.249	14.425	63.467	0	0
ENSMUST00000132207	ENSMUST00000132207	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000142304	ENSMUST00000142304	ENSMUSG00000033740	0	0	0	0	0	0	2.983	0	0	4.242	0	0	0	0	0
ENSMUST00000151015	ENSMUST00000151015	ENSMUSG00000033740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000130338	ENSMUST00000130338	ENSMUSG00000033740	0	0	0	0	0	0	0	0	9.145	0	0	4.395	0	0	3.184
ENSMUST00000195780	ENSMUST00000195780	ENSMUSG00000103329	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194393	ENSMUST00000194393	ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194605	ENSMUST00000194605	ENSMUSG00000102135	2.208	4.267	4.799	5.26	6.011	3.964	4.57	1.045	2.17	1.083	0	6.872	1.012	2.087	2.342
ENSMUST00000191703	ENSMUST00000191703	ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193423	ENSMUST00000193423	ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000191883	ENSMUST00000191883	ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195648	ENSMUST00000195648	ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
