gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000106535	Gm43031	0.819333	1.077311	0.653632	0.807861	0.487413	1.440774	1.185336	0.579614	1.585989	0.776903	1.022643	0.515472	1.147051	0.765919	0.654997
ENSMUSG00000106536	Gm42508	0	0	0.008196	0	0	0	0	0	0.010024	0.009948	0.011255	0	0	0	0
ENSMUSG00000106537	Gm43502	0.021907	0	0	0	0	0.051041	0	0	0.025802	0.025593	0.057925	0.008119	0.028513	0.018385	0.011327
ENSMUSG00000106538	Gm30301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106539	Gm43670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106540	4930590L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106541	Gm43246	0	0.058707	0	0	0.069413	0	0	0	0	0.078065	0	0	0	0	0
ENSMUSG00000106542	Gm43410	0.038606	0	0.024745	0.048894	0.084122	0.095945	0.012331	0.037119	0.030328	0.015036	0.017018	0.028611	0.067	0.054013	0.026608
ENSMUSG00000106543	Gm43378	0.127274	0.337097	0.484299	0.790111	0.732356	0.771264	0.980043	0.610374	1.064436	0.298772	0.848516	0.32908	0.580744	0.484003	0.45688
ENSMUSG00000106545	Gm33952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106546	Igkv13-56-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106547	B230303O12Rik	0.061227	0.081004	0.139965	0.101719	0.209352	0.17831	0.087962	0.073604	0.17111	0.187708	0.151691	0.096455	0.249003	0.134824	0.158374
ENSMUSG00000106548	Gm43390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106549	Gm42653	0.079671	0.122977	0.095809	0.047283	0.065256	0.111373	0.038161	0.057459	0.128986	0.023267	0.039492	0.036909	0.038884	0.066854	0.020601
ENSMUSG00000106550	Gm43646	0	0	0	0	0.090921	0	0	0	0	0.104134	0.236851	0	0	0	0.090435
ENSMUSG00000106551	Gm1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106552	Obox4-ps5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106553	6720482G16Rik	0.466263	0.434233	0.447067	0.64064	0.418877	0.313872	0.62126	0.273796	0.643312	0.363631	0.652266	0.249359	0.236119	0.413872	0.614681
ENSMUSG00000106554	Gm33474	0	0	0.047869	0.023738	0	0.023262	0	0	0.206551	0.029193	0	0	0.032498	0	0
ENSMUSG00000106555	Gm2479	0	0	0	0	0.040487	0	0.028743	0.036416	0.044992	0	0.100706	0	0.049397	0.063876	0
